"Gene","ModuleColor"
"CRYBB2.10000.28.3",1
"RAF1.10001.7.3",1
"ZNF41.10003.15.3",1
"ELK1.10006.25.3",1
"GUCA1A.10008.43.3",1
"OCRL.10011.65.3",1
"SPDEF.10012.5.3",1
"SNAI2.10014.31.3",1
"KCNAB2.10015.119.3",1
"POLH.10022.207.3",1
"VDR.10023.32.3",5
"HOGA1.10024.44.3",1
"MUTYH.10030.8.3",0
"DUSP4.10035.6.3",1
"ZHX3.10036.201.3",1
"SIGLEC12.10037.98.3",1
"TP63.10040.63.3",1
"HNF4A.10041.3.3",1
"SGK3.10042.8.3",1
"BRD4.10043.31.3",1
"WNT10A.10044.12.3",5
"CUL3.10045.47.3",1
"BIRC2.10046.55.3",0
"NCF2.10047.12.3",1
"CBFB.10048.7.3",1
"TERF1.10049.112.3",1
"ILK.10053.5.3",3
"GAN.10054.3.3",1
"FOXM1.10056.5.3",1
"RAD23A.10058.1.3",1
"FANCL.10063.10.3",0
"RBBP9.10064.12.3",1
"PLCG2.10070.22.3",1
"TDP1.10073.22.3",1
"BRD2.10074.128.3",1
"ACBD6.10075.75.3",1
"AP4M1.10076.1.3",1
"BAG3.10078.5.3",1
"EIF2B1.10080.9.3",1
"SATB2.10081.17.3",1
"NEFL.10082.251.3",2
"STAR.10085.25.3",1
"CBS.10086.39.3",1
"CRYAA.10087.10.3",2
"APRT.10088.37.3",3
"ASMTL.10089.7.3",1
"STUB1.10336.3.3",0
"ENO2.10339.48.3",2
"PIAS4.10342.55.3",1
"IL10RA.10344.334.3",1
"STAT3.10346.5.3",1
"JUN.10356.21.3",1
"OAS1.10361.25.3",1
"MYC.10362.35.3",1
"SMAD3.10363.13.3",1
"SMAD2.10364.6.3",1
"IL12B.IL23A.10365.132.3",0
"PDGFRA.10366.11.3",2
"IL12A.IL12B.10367.62.3",1
"STAT1.10370.21.3",1
"STAT6.10372.18.3",3
"ZNRF3.10390.21.3",0
"ANGPTL3.10391.1.3",4
"MCL1.10396.6.3",1
"STX12.10418.36.3",2
"SCARA5.10419.1.3",1
"NPDC1.10424.31.3",2
"B4GALT5.10425.3.3",1
"GOSR2.10426.21.3",1
"KIR2DS2.10428.1.3",1
"SLC3A2.10430.31.3",1
"SHISAL1.10432.3.3",1
"AGA.10435.2.3",1
"CSF2RA.10438.19.3",1
"CLMP.10440.26.3",1
"TMEM190.10442.1.3",0
"APOM.10445.20.3",1
"PABPC3.10447.18.3",1
"SHISA2.10449.31.3",1
"NUCB1.10451.11.3",1
"CEACAM20.10453.7.3",1
"DNAJC16.10454.99.3",1
"IL31.10455.196.3",1
"INSL5.10462.14.3",1
"ANTXR1.10464.6.3",1
"MAGEA4.10485.56.3",1
"RPN1.10490.3.3",2
"CLCA1.10496.11.3",1
"TMEM106A.10499.1.3",1
"PGRMC2.10506.53.3",0
"ACRV1.10507.166.3",0
"SCIMP.10510.62.3",1
"COL6A3.10511.10.3",5
"CSF2RB.10512.13.3",1
"KCNIP3.10513.13.3",0
"PTGDS.10514.5.3",1
"MXRA8.10521.10.3",2
"DHX9.10527.22.3",1
"PSMB6.10530.8.3",1
"NRAS.10531.18.3",1
"PARP1.10534.40.3",1
"COX6A2.10535.25.3",1
"CD99L2.10539.30.3",1
"TSPEAR.10546.2.3",1
"BMPR1B.10550.37.3",1
"LAT.10551.7.3",1
"KLRC4.10552.88.3",0
"TOR1AIP2.10553.8.3",1
"GLB1.10554.23.3",1
"TEX29.10557.6.3",1
"PCDH9.10558.26.3",2
"ITM2C.10560.1.3",5
"PGLYRP3.10561.5.3",1
"NETO2.10562.42.3",2
"LYSMD3.10563.13.3",1
"SLITRK3.10565.19.3",2
"MFAP2.10569.28.3",1
"MGAT1.10571.14.3",1
"CST8.10572.65.3",2
"B2M.10574.10.3",0
"PUF60.10575.31.3",1
"SFTA2.10580.14.3",1
"POMK.10582.36.3",1
"TMEM108.10583.1.3",1
"NDUFS4.10584.7.3",0
"ST3GAL5.10588.39.3",1
"RAET1L.10589.7.3",1
"CLGN.10600.24.3",5
"HTN3.10603.1.3",1
"APMAP.10605.22.3",1
"TOR1AIP1.10606.34.3",2
"HTN1.10608.9.3",2
"PLOD3.10612.18.3",1
"GOLM2.10613.33.3",2
"MPZ.10615.18.3",1
"PODXL2.10616.67.3",1
"LRP2.10618.190.3",1
"MSMB.10620.21.3",0
"PRR16.10621.26.3",0
"MUC1.10623.19.3",1
"SPINK13.10624.45.3",1
"APLP2.10627.87.3",1
"HTATIP2.10630.5.3",1
"ELAPOR1.10637.50.3",1
"TINF2.10638.1.3",1
"OLFM3.10643.16.3",1
"ASCC1.10647.18.3",1
"INSIG1.10663.42.3",1
"GNPTG.10666.7.3",2
"C1orf185.10667.78.3",1
"STX4.10668.5.3",1
"SFTPB.10672.75.3",1
"TMX2.10675.223.3",1
"NDUFB4.10677.9.3",1
"KLRG2.10693.43.3",1
"WFDC10B.10695.12.3",1
"LRP1.10699.52.3",1
