"Gene","ModuleColor"
"CRYBB2.10000.28.3",0
"RAF1.10001.7.3",1
"ZNF41.10003.15.3",0
"ELK1.10006.25.3",0
"GUCA1A.10008.43.3",0
"OCRL.10011.65.3",1
"SPDEF.10012.5.3",2
"SNAI2.10014.31.3",1
"KCNAB2.10015.119.3",1
"POLH.10022.207.3",0
"VDR.10023.32.3",2
"HOGA1.10024.44.3",0
"MUTYH.10030.8.3",0
"DUSP4.10035.6.3",1
"ZHX3.10036.201.3",1
"SIGLEC12.10037.98.3",0
"TP63.10040.63.3",0
"HNF4A.10041.3.3",0
"SGK3.10042.8.3",2
"BRD4.10043.31.3",3
"WNT10A.10044.12.3",6
"CUL3.10045.47.3",1
"BIRC2.10046.55.3",0
"NCF2.10047.12.3",3
"CBFB.10048.7.3",3
"TERF1.10049.112.3",0
"ILK.10053.5.3",1
"GAN.10054.3.3",0
"FOXM1.10056.5.3",1
"RAD23A.10058.1.3",1
"FANCL.10063.10.3",0
"RBBP9.10064.12.3",0
"PLCG2.10070.22.3",1
"TDP1.10073.22.3",1
"BRD2.10074.128.3",0
"ACBD6.10075.75.3",1
"AP4M1.10076.1.3",1
"BAG3.10078.5.3",1
"EIF2B1.10080.9.3",1
"SATB2.10081.17.3",2
"NEFL.10082.251.3",7
"STAR.10085.25.3",0
"CBS.10086.39.3",0
"CRYAA.10087.10.3",0
"APRT.10088.37.3",1
"ASMTL.10089.7.3",1
"STUB1.10336.3.3",1
"ENO2.10339.48.3",1
"PIAS4.10342.55.3",6
"IL10RA.10344.334.3",2
"STAT3.10346.5.3",1
"JUN.10356.21.3",2
"OAS1.10361.25.3",0
"MYC.10362.35.3",0
"SMAD3.10363.13.3",1
"SMAD2.10364.6.3",1
"IL12B.IL23A.10365.132.3",0
"PDGFRA.10366.11.3",0
"IL12A.IL12B.10367.62.3",0
"STAT1.10370.21.3",1
"STAT6.10372.18.3",1
"ZNRF3.10390.21.3",1
"ANGPTL3.10391.1.3",0
"MCL1.10396.6.3",0
"STX12.10418.36.3",1
"SCARA5.10419.1.3",0
"NPDC1.10424.31.3",1
"B4GALT5.10425.3.3",0
"GOSR2.10426.21.3",6
"KIR2DS2.10428.1.3",0
"SLC3A2.10430.31.3",0
"SHISAL1.10432.3.3",0
"AGA.10435.2.3",0
"CSF2RA.10438.19.3",0
"CLMP.10440.26.3",1
"TMEM190.10442.1.3",0
"APOM.10445.20.3",2
"PABPC3.10447.18.3",1
"SHISA2.10449.31.3",2
"NUCB1.10451.11.3",0
"CEACAM20.10453.7.3",0
"DNAJC16.10454.99.3",1
"IL31.10455.196.3",0
"INSL5.10462.14.3",0
"ANTXR1.10464.6.3",4
"MAGEA4.10485.56.3",6
"RPN1.10490.3.3",1
"CLCA1.10496.11.3",0
"TMEM106A.10499.1.3",0
"PGRMC2.10506.53.3",0
"ACRV1.10507.166.3",0
"SCIMP.10510.62.3",0
"COL6A3.10511.10.3",6
"CSF2RB.10512.13.3",0
"KCNIP3.10513.13.3",0
"PTGDS.10514.5.3",4
"MXRA8.10521.10.3",4
"DHX9.10527.22.3",2
"PSMB6.10530.8.3",1
"NRAS.10531.18.3",1
"PARP1.10534.40.3",3
"COX6A2.10535.25.3",0
"CD99L2.10539.30.3",1
"TSPEAR.10546.2.3",2
"BMPR1B.10550.37.3",2
"LAT.10551.7.3",0
"KLRC4.10552.88.3",1
"TOR1AIP2.10553.8.3",1
"GLB1.10554.23.3",6
"TEX29.10557.6.3",0
"PCDH9.10558.26.3",4
"ITM2C.10560.1.3",0
"PGLYRP3.10561.5.3",2
"NETO2.10562.42.3",0
"LYSMD3.10563.13.3",0
"SLITRK3.10565.19.3",4
"MFAP2.10569.28.3",0
"MGAT1.10571.14.3",0
"CST8.10572.65.3",1
"B2M.10574.10.3",0
"PUF60.10575.31.3",1
"SFTA2.10580.14.3",0
"POMK.10582.36.3",2
"TMEM108.10583.1.3",0
"NDUFS4.10584.7.3",0
"ST3GAL5.10588.39.3",0
"RAET1L.10589.7.3",0
"CLGN.10600.24.3",6
"HTN3.10603.1.3",1
"APMAP.10605.22.3",1
"TOR1AIP1.10606.34.3",1
"HTN1.10608.9.3",0
"PLOD3.10612.18.3",5
"GOLM2.10613.33.3",4
"MPZ.10615.18.3",3
"PODXL2.10616.67.3",0
"LRP2.10618.190.3",0
"MSMB.10620.21.3",4
"PRR16.10621.26.3",1
"MUC1.10623.19.3",0
"SPINK13.10624.45.3",1
"APLP2.10627.87.3",5
"HTATIP2.10630.5.3",0
"ELAPOR1.10637.50.3",3
"TINF2.10638.1.3",0
"OLFM3.10643.16.3",2
"ASCC1.10647.18.3",0
"INSIG1.10663.42.3",0
"GNPTG.10666.7.3",0
"C1orf185.10667.78.3",1
"STX4.10668.5.3",1
"SFTPB.10672.75.3",0
"TMX2.10675.223.3",2
"NDUFB4.10677.9.3",2
"KLRG2.10693.43.3",0
"WFDC10B.10695.12.3",0
"LRP1.10699.52.3",0
"IGSF11.10700.10.3",0
"COL28A1.10702.1.3",4
"SUDS3.10703.203.3",1
"IRAG2.10704.91.3",0
"ST6GALNAC3.10705.14.3",0
"GNRH2.10708.3.3",0
"ZPBP2.10710.23.3",0
"CD300LB.10713.151.3",0
"ACE.10714.7.3",6
"PSMD5.10716.35.3",0
"HSPA1A.10721.76.3",3
"SYK.10722.13.3",1
"HS3ST5.10731.10.3",3
"GAL3ST2.10734.339.3",6
"SERPINB1.10737.96.3",3
"PCDHB2.10748.216.3",0
"HSPA1A.10749.18.3",0
"CDYL2.10752.8.3",0
"ADAM7.10753.31.3",0
"PROK2.10754.113.3",0
"UCN3.10756.34.3",0
"KERA.10758.2.3",1
"GRIA4.10760.107.3",1
"TMED2.10761.5.3",2
"KLRG2.10762.2.3",1
"ADGRG2.10767.52.3",0
"CSGALNACT2.10772.21.3",0
"CLEC4G.10781.19.3",1
"LRRC52.10785.8.3",0
"CD300E.10798.4.3",0
"SERPINH1.10800.15.3",1
"HSPA1A.10803.22.3",1
"KLRB1.10809.14.3",0
"CD1A.10814.7.3",2
"HABP4.10815.2.3",0
"PILRA.10816.150.3",0
"TOMM20L.10817.26.3",2
"SMPD1.10818.36.3",0
"VSIG10.10825.12.3",0
"LINGO3.10827.67.3",0
"EFCAB14.10830.5.3",0
"B4GALT6.10832.24.3",4
"HHIP.10833.64.3",0
"A4GNT.10835.25.3",0
"GCNT4.10842.7.3",2
"SIGLEC15.10847.1.3",2
"BTNL3.10848.137.3",1
"EBI3.10851.77.3",4
"HNRNPDL.10852.114.3",3
"PPP4R3A.10866.60.3",3
"BRAT1.10876.300.3",0
"FAM163B.10880.38.3",1
"DSC1.10882.12.3",2
"C6orf89.10885.36.3",0
"MRAP2.10889.2.3",0
"LCTL.10890.135.3",0
"OSMR.10892.8.3",0
"TMPRSS11B.10895.28.3",0
"STMN2.10900.272.3",1
"ASPRV1.10902.53.3",0
"STX8.10903.50.3",1
"NTM.10907.116.3",4
"GALNT13.10908.2.3",0
"CEACAM4.10910.6.3",3
"PLA2R1.10916.44.3",4
"GNGT2.10917.40.3",1
"CYB5D2.10924.258.3",4
"CALN1.10933.107.3",1
"CD58.10938.13.3",0
"PLEKHA4.10939.16.3",0
"SRL.10940.25.3",1
"STX6.10945.11.3",0
"PLD3.10948.14.3",1
"RPLP2.10949.59.3",0
"CLEC2A.10953.14.3",1
"CLEC10A.10955.4.3",0
"GCSH.10956.82.3",0
"BET1L.10959.125.3",0
"PLAAT4.10961.15.3",0
"SPINK7.10974.20.3",4
"MUCL1.10975.59.3",0
"UCMA.10977.55.3",0
